240,103
241,103
242,103
243,103
244,103
245,103
246,103
247,103
248,103
249,157
250,53
251,85
252,85
253,85
254,85
255,85
256,85
257,53
258,157
259,103
260,103
261,103
262,103
263,103
264,103
265,103
266,103
267,103
268,103
269,103
270,103
271,101
272,53
273,90
274,108
275,96
276,96
277,96
278,96
279,96
280,96
281,96
282,96
283,96
284,108
285,90
286,53
287,101
288,103
289,103
290,103
291,101
292,53
293,90
294,108
295,96
296,96
297,96
298,96
299,96
300,96
301,96
302,96
303,96
304,108
305,90
306,53
307,101
308,103
309,103
310,103
311,101
312,53
313,90
314,108
315,96
316,96
317,96
318,96
319,96
320,96
321,96
322,96
323,96
324,108
325,90
326,53
327,101
328,103
329,103
330,103
331,101
332,53
333,90
334,108
335,96
336,96
337,96
338,96
339,96
340,96
341,96
342,96
343,96
344,108
345,90
346,53
347,101
348,103
349,103
350,103
351,101
352,53
353,90
354,107
355,96
356,96
357,96
358,96
359,96
360,96
361,96
362,96
363,96
364,108
365,90
366,53
367,101
368,103
369,103
370,103
371,101
372,53
373,90
374,107
375,96
376,96
377,96
378,96
379,96
380,96
381,96
382,96
383,96
384,108
385,90
386,53
387,101
388,103
389,103
390,103
391,101
392,53
393,90
394,107
395,96
396,96
397,96
398,96
399,96
400,96
401,96
402,96
403,96
404,108
405,90
406,53
407,101
408,103
409,103
410,103
411,101
412,53
413,90
414,107
415,96
416,96
417,96
418,96
419,96
420,96
421,96
422,96
423,96
424,108
425,90
426,53
427,101
428,103
429,103
430,103
431,101
432,53
433,90
434,108
435,96
436,96
437,96
438,96
439,96
440,96
441,96
442,96
443,96
444,108
445,90
446,53
447,101
448,103
449,103
450,103
451,101
452,53
453,90
454,108
455,96
456,96
457,96
458,96
459,96
460,96
461,96
462,96
463,96
464,108
465,90
466,53
467,101
468,103
469,103
470,103
471,101
472,53
473,90
474,108
475,96
476,96
477,96
478,96
479,96
480,96
481,96
482,96
483,96
484,108
485,90
486,53
487,101
488,103
489,103
490,103
491,101
492,53
493,90
494,108
495,96
496,96
497,96
498,96
499,96
500,96
501,96
502,96
503,96
504,108
505,90
506,53
507,101
508,103
509,103
510,103
511,101
512,53
513,90
514,107
515,96
516,96
517,96
518,96
519,96
520,96
521,96
522,96
523,96
524,108
525,90
526,53
527,101
528,103
529,103
530,103
531,101
532,53
533,90
534,107
535,96
536,96
537,96
538,96
539,96
540,96
541,96
542,96
543,96
544,108
545,90
546,53
547,101
548,103
549,103
550,103
551,101
552,53
553,90
554,107
555,96
556,96
557,96
558,96
559,96
560,96
561,96
562,96
563,96
564,108
565,90
566,53
567,101
568,103
569,103
570,103
571,101
572,53
573,90
574,107
575,96
576,96
577,96
578,96
579,96
580,96
581,96
582,96
583,96
584,108
585,90
586,53
587,101
588,103
589,103
590,103
591,103
592,103
593,103
594,103
595,103
596,103
597,103
598,103
599,103
600,103
601,103
602,103
603,103
604,103
605,103
606,103
607,103
608,103
609,103
610,103
611,103
612,103
613,103
614,103
615,103
616,61
617,75
618,75
619,75
620,75
